room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
17758084,1425,116772224,Shared room,,Philadelphia,,EAST_KENSINGTON,12,5.0,1,1.0,,18.0,,2017-07-10 03:14:32.892478,39.986812,-75.123642,0101000020E61000005F9A22C0E9C752C072A609DB4FFE4340
7696167,1425,36708337,Shared room,,Philadelphia,,FISHTOWN,88,5.0,2,1.0,,25.0,,2017-07-10 03:14:32.889784,39.968683,-75.133504,0101000020E6100000A7785C548BC852C07898F6CDFDFB4340
7451660,1425,19908586,Shared room,,Philadelphia,,RICHMOND,86,5.0,1,1.0,,26.0,,2017-07-10 03:14:32.886823,39.984763,-75.119212,0101000020E61000009C525E2BA1C752C0CAA7C7B60CFE4340
15270688,1425,41597706,Shared room,,Philadelphia,,SPRUCE_HILL,28,4.5,1,1.0,,21.0,,2017-07-10 03:14:32.884413,39.950556,-75.206427,0101000020E6100000BB80971936CD52C01F82AAD1ABF94340
11770711,1425,59829880,Shared room,,Philadelphia,,CENTER_CITY,19,4.5,10,1.0,,27.0,,2017-07-10 03:14:32.878755,39.957321,-75.160823,0101000020E6100000745C8DEC4ACA52C01363997E89FA4340
5298072,1425,4266027,Shared room,,Philadelphia,,FISHTOWN,110,5.0,4,1.0,,33.0,,2017-07-10 03:14:32.876109,39.969553,-75.133912,0101000020E6100000AF22A30392C852C08D5E0D501AFC4340
9754343,1425,50308154,Shared room,,Philadelphia,,OLD_CITY,32,5.0,5,1.0,,29.0,,2017-07-10 03:14:32.873016,39.949192,-75.144442,0101000020E6100000CE8AA8893EC952C0FACF9A1F7FF94340
17927126,1425,73246574,Shared room,,Philadelphia,,GERMANTOWN_WEST_CENT,12,5.0,2,1.0,,23.0,,2017-07-10 03:14:32.870063,40.039584,-75.186384,0101000020E6100000DA1F28B7EDCB52C0F1B8A81611054440
7387985,1425,38702916,Entire home/apt,,Philadelphia,,GRADUATE_HOSPITAL,0,0.0,7,4.0,,3000.0,,2017-07-10 03:07:58.181221,39.943504,-75.167773,0101000020E6100000B709F7CABCCA52C095D233BDC4F84340
11588942,1425,37470019,Entire home/apt,,Philadelphia,,RITTENHOUSE,0,0.0,8,3.0,,190.0,,2017-07-10 02:59:44.767643,39.952227,-75.166052,0101000020E6100000DD5B9198A0CA52C021AF0793E2F94340
7633727,1425,40046612,Entire home/apt,,Philadelphia,,FRANCISVILLE,8,5.0,8,3.0,,154.0,,2017-07-10 02:43:34.677493,39.971266,-75.164529,0101000020E6100000978FA4A487CA52C0BEDBBC7152FC4340
18948442,1425,9954475,Entire home/apt,,Philadelphia,,LOGAN_SQUARE,3,5.0,6,2.0,,125.0,,2017-07-10 02:42:25.307609,39.956021,-75.167583,0101000020E610000065170CAEB9CA52C005A568E55EFA4340
8146795,1425,43012558,Entire home/apt,,Philadelphia,,OVERBROOK,0,0.0,6,3.0,,5000.0,,2017-07-10 02:39:49.231947,39.97862,-75.252487,0101000020E610000092EA3BBF28D052C0139B8F6B43FD4340
5406422,1425,22129776,Entire home/apt,,Philadelphia,,LOGAN_SQUARE,0,0.0,4,1.0,,199.0,,2017-07-10 02:26:56.858560,39.956586,-75.170799,0101000020E610000021CCED5EEECA52C0DEE7F86871FA4340
4317271,1425,22129776,Entire home/apt,,Philadelphia,,RITTENHOUSE,2,0.0,4,1.0,,199.0,,2017-07-10 02:26:56.848459,39.949556,-75.173631,0101000020E610000098A432C51CCB52C03CDC0E0D8BF94340
5402581,1425,18940931,Entire home/apt,,Philadelphia,,PASSYUNK_SQUARE,15,4.5,6,2.0,,195.0,,2017-07-10 02:26:51.650537,39.935075,-75.166497,0101000020E6100000757808E3A7CA52C05227A089B0F74340
4317223,1425,22129776,Entire home/apt,,Philadelphia,,LOGAN_SQUARE,6,4.5,6,2.0,,141.0,,2017-07-10 02:26:34.774193,39.955067,-75.176791,0101000020E610000089CE328B50CB52C0923EADA23FFA4340
4782505,1425,22129776,Entire home/apt,,Philadelphia,,WASHINGTON_SQUARE,2,0.0,3,1.0,,127.0,,2017-07-10 02:24:54.424343,39.947349,-75.161143,0101000020E6100000ADBEBA2A50CA52C0FC7266BB42F94340
14254674,1425,85980484,Entire home/apt,,Philadelphia,,SOMERTON,51,5.0,4,1.0,,65.0,,2017-07-10 02:23:27.835920,40.123203,-75.024873,0101000020E61000006B63EC8497C152C071E2AB1DC50F4440
17096869,1425,105586827,Entire home/apt,,Philadelphia,,WASHINGTON_SQUARE,36,4.5,3,1.0,,78.0,,2017-07-10 02:23:26.260071,39.943881,-75.164154,0101000020E61000007C60C77F81CA52C06B28B517D1F84340
15256047,1425,37128795,Entire home/apt,,Philadelphia,,SPRING_GARDEN,60,4.5,3,0.0,,70.0,,2017-07-10 02:23:22.935001,39.963529,-75.165301,0101000020E6100000C03FA54A94CA52C0B1DF13EB54FB4340
